doi	title	journal	year	contentState	reason	note	route
10.1016/j.cose.2026.104938	Comparative analysis of OSINT tools, techniques, and legal aspects	Computers & Security	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tpami.2026.3691075	Zero-Shot Neural Network Evaluation With Sample-Wise Activation Patterns	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tai.2026.3678885	Fine-Grained Features in Any-Shot Learning: A Survey	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3688491	From Convergence to Generalization: Stability of Stationary-Point Learning Algorithms	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3701655	FreeLens: Revealing Mobile App Feature Differences and Their Security and Privacy Implications Across Geographical Regions	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3707542	Small-Perturbation Adversarial Example Detection via Proactive Decision Boundary Bending	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3686800	LSPC-LA: Local Structure Preserving Clustering With Learnable Anchors	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3683057	Local Duality for Sparse Support Vector Machines	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3680940	Behavior and Sublinear Algorithm for Opinion Disagreement on Noisy Social Networks	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3670186	Toward Robust End-to-End Delay Prediction: A GNN Approach With Routing-Aware Attention and Masked Subgraph Sampling	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3661886	Fortifying Robustness in Graph Neural Networks: A Loss Correction Approach to Mitigate Label Noise	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3672242	Seeing What Few-Shot Learners See: Contrastive Cross-Class Attribution for Explainability	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3703139	Federated Unlearning Activated Backdoor Attacks	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3670848	Novel Meta Mode-Adaptive Multihead Attention for Multimode Industrial Process Soft Sensing	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3683517	Enhancing Value Decomposition With Target Transformation in Cooperative Multi-Agent Reinforcement Learning	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tai.2026.3671761	Stereo Image Coding for Machines With Joint Visual Feature Compression	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3672453	Enhancing Stability of Probabilistic Model-Based Reinforcement Learning by Adaptive Noise Filtering	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3688520	Causality-Preserving Domain Generalization via Adaptive Fourier Mixup for RUL Prediction	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3665811	Fractional-Order Dynamics Learning and Control via Data-Driven Approaches: Taking Soft Manipulator as an Example	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3688543	Bi3D++: Hybrid Bi-Domain Active Learning for Cross-Domain 3D Object Detection	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3665567	DPIU: Dynamic Pedestrian Intention Understanding Through Cognitive Decision-Making	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3675666	Hybrid Convolution Reparameterization for Efficient Deep Learning-Based Nonprecipitation Echo Recognition and Removal	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3687009	Suppressing Gradient Conflict for Generalizable Deepfake Detection	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1007/s10994-026-07159-y	Graph Spectral Client Scheduling for Reliable Federated Learning in Safety-Critical LEO Satellite Networks	Machine Learning	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	springer-link
10.1109/tpami.2026.3669975	Near-perfect Clustering Based on Recursive Binary Splitting Using Max-MMD	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.cose.2026.104957	An integrated framework for information security risk management: A mixed-methods systematic literature review	Computers & Security	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tai.2026.3672361	Graph Attention Transformer With Multitask Learning for Motion Prediction in Autonomous Driving	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3709125	Versatile Sketch-Based Attribute Filtering for Hybrid Vector Search	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3669867	GeNeX: Genetic Network eXperts Framework for Addressing Validation Overfitting	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tai.2026.3681265	Cross-Corpus Speech Emotion Recognition Based on Dynamically Filtering Multistage Diffusion Model	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.neunet.2026.108949	Dynamic expandable framework for incremental anomaly detection	Neural Networks	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	elsevier
10.1109/tnnls.2026.3661083	ITS-ShipFormer: An Informative Token Selection Former for SAR Ship Recognition	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3696814	CipherBD: A Backdoor Defense Toward Privacy Preserving Neural Network Training	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3700562	ANN-Cache: Accelerating Approximate Nearest Neighbor Search via Caching	IEEE Transactions on Knowledge and Data Engineering	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	ieee
10.1109/tdsc.2026.3698054	Resilient Secure Control of Networked Industrial Control Systems Under AI-Driven Feedback Poisoning via ACK Bundling	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3659079	Neural-Adaptive Finite-Time Consensus Tracking of Singular Multiagent Systems With Actuator Attack	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3703460	CTGAD-X: Explainable Contrastive Learning on Temporal Graphs for Advanced Threat Detection	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.neunet.2026.108983	Multi-scale pyramid fusion with overlap density attention module for crowd counting	Neural Networks	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	elsevier
10.1109/tdsc.2026.3702092	Identity-Based Encryption With Equality Test and Flexible Time-Based Authorization for Cloud Computing	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3699451	P3RS-MT: Privacy-Preserving Personalized Recommendation Services in Medical Tourism	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3697937	Toward Secure Task Offloading in Vehicular Edge Computing Networks	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3698496	Randomization Mechanism Based on Elliptical Distributions for Location Privacy in Geo-Indistinguishability	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3660137	Logits-Level Balanced Machine Unlearning for LLM-Based Recommendation System	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tkde.2026.3701433	Efficient Minimum $k$-Truss Search: A Decomposition-Based Approach	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3696736	Decentralized and Lightweight Server-Aided Revocable Attribute-Based Encryption for Mobile Cloud Computing	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.neunet.2026.108908	Hierarchical cross-attention guided deformable registration with multi-level feature fusion for medical images	Neural Networks	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tdsc.2026.3703615	Adaptive DBSCAN-Enhanced Oversampling for Imbalanced Network Intrusion Detection: A Boundary-Aware Approach	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.neunet.2026.108874	Training instabilities favor flatter solutions in gradient descent	Neural Networks	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tai.2026.3669876	Dual Attention Multi-Instance Learning for Identifying Autism Spectrum Disorder Using Resting-State fMRI	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/j.cose.2026.104954	Securing enterprise communications: Human-centric practices and emerging research	Computers & Security	2026	partial	blocked	探测到候选 PDF，但下载请求被 HTTP 错误拒绝。	elsevier
10.1109/tnnls.2026.3665724	Robust Image-Based Visual Servoing Formation Control for Quadrotors Without Communication via Reinforcement Learning	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3688692	ImagineNav++: Prompting Vision-Language Models as Embodied Navigator Through Scene Imagination	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3661343	NPSVC++: A Representation Learning Framework for Nonparallel Classifiers	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3662308	Beyond Subject-Specific Models in Dynamical Human--Machine Interaction: Benchmarking and Optimization Strategies	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	blocked	PDF 探测时被出版社页面或反爬拦截。	ieee
10.1016/j.neunet.2026.108905	Dimension- adaptive latent representation learning with normalized hyperbolic tensor rank for multi-view clustering	Neural Networks	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	elsevier
10.1109/tkde.2026.3700798	Efficient Structure-Aware Discrete Clustering via Multi-Order Anchor Graphs	IEEE Transactions on Knowledge and Data Engineering	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1016/s0004-3702(26)00119-0	Editorial Board	Artificial Intelligence	2026	pending	non_research_document	标题与期刊记录表明这是 Editorial Board 编委会页面，不是研究论文；仅保留作来源审计。	elsevier
10.1109/tnnls.2026.3673692	Learning Optimal Policies With Local Observations for Cooperative Multiagent Reinforcement Learning	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tdsc.2026.3702678	Vehicle-Side Lightweight Conditional Anonymous Double Authentication Framework With Password Robustness in VANETs	IEEE Transactions on Dependable and Secure Computing	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tnnls.2026.3665367	PerC-SimAM-BLSTM: Position Perception Circular Convolution With Simple Attention Mechanism Based on BLSTM for Bundle Branch Block Detection	IEEE Transactions on Neural Networks and Learning Systems	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tai.2026.3681277	Multimodal Transformer-Based Gait Analysis and Deep Learning Model for Slip-Resistant Footwear Evaluation	IEEE Transactions on Artificial Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
10.1109/tpami.2026.3689939	Improved Residual Learning in Diffusion Models	IEEE Transactions on Pattern Analysis and Machine Intelligence	2026	partial	not-oa	OpenAlex 标记为 closed，未发现公开 PDF。	ieee
